FECHA DEL EVENTO;DIRECCIÓN;Tiempo de Respuesta;Tiempo total evento;M;M;M;M;M;M;M;M;M;M;total;R;R;R;R;R;R;Otro;total;Tte;Sto;Cbo;Bros;Otro;total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;ÁREA AFECTADA EN MTS 2;ÁREA EXPUESTA EN MTS 2;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Menores;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Menores;Rescatados Hombres;Rescatados Mujeres;Rescatados Menores;Heridos Hombres;Heridos Mujeres;Heridos Menores;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Menores
lunes 1 de enero de 2018;CL 33 SUR 68C 15;00:07;00:51;ME22;;;;;;;;;;1;;;;;;;;0;;1;;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;P.3 OTROS, CUAL, DESCRIBALO;PROVOCADA;;;1;;;1;;;;;;;;;;;
lunes 1 de enero de 2018;KR 97B 56H SUR;00:12;00:42;ME36;;;;;;;;;;1;R8;;;;;;;1;;1;1;5;;7;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;1;;;;1;;;;;;;;;;
lunes 1 de enero de 2018;KR 13 56 56;00:01;02:31;ME37;ME05;;;;;;;;;2;R1;;;;;;;1;;1;2;9;;12;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.2 COMERCIO ZONAL;1.1.4.2.1 ALMACENES;;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;;;1;;;1;;;;;;;;
lunes 1 de enero de 2018;CL 116 22 05;00:12;01:04;ME25;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
lunes 1 de enero de 2018;AV SUBA COTA;00:15;01:52;ME32;;;;;;;;;;1;R12;;;;;;;1;1;;1;6;;8;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.1 FABRICAS;1.1.2.1.1 PROCESAMIENTO INDUSTRIAL;;;I. INDETERMINADA;INDETERMINADA;;;1;;;1;;;;;;;;;;;
lunes 1 de enero de 2018;KR 29B BIS 0 64;00:05;03:08;ME30;CT02;;;;;;;;;2;;;;;;;;0;;;1;7;;8;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
martes 2 de enero de 2018;CL 1B BIS 2 26;00:09;01:36;ME38;;;;;;;;;;1;;;;;;;;0;;2;;3;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;1;;1;1;;;;;;;;;;
martes 2 de enero de 2018;KR 59A 134 15;00:08;00:58;ME20;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
martes 2 de enero de 2018;TV 13B 45D 31 SUR;00:08;01:13;ME30;CT02;;;;;;;;;2;;;;;;;;0;;;1;7;;8;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.3 COMERCIO VECINAL;"1.1.4.3.1 TIENDAS DE BARRIO Y LOCALES DE ACTIVIDAD ECONÓMICA 
LIMITADA EN COMERCIO Y/O SERVICIOS LIMITADOS ( Panaderías, peluquerías, misceláneas, dispensarios, droguerías y otros) ";;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;2;;;2;;;2;;;;;;;;
miércoles 3 de enero de 2018;KR 72 BIS 81A 05;00:11;04:12;CT04;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
