FECHA DEL EVENTO;DIRECCIÃ“N ATENCIÃ“N DEL INCIDENTE;LATITUD;LONGITUD;Tiempo de Respuesta;Tiempo total evento;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECURSOS;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TIPO SUBCLASE DE SERVICIO;USO DE LA EDIFICACION ;CLASE DE USO DE LA EDIFICACION ;CLASE DE VEHÃCULO;SUBCLASE DE VEHÃCULO;ÃREA AFECTADA EN MTS2 EVENTOS FORESTALES;ÃREA EXPUESTA EN MTS2 EVENTOS FORESTALES;ORIGEN DE LA CAUSA COLOCAR EL TITULO DE CADA SERVICIO PARA LAS CAUSA;CAUSAS;PoblaciÃ³n Expuesta Hombres;PoblaciÃ³n Expuesta Mujeres;PoblaciÃ³n Expuesta NiÃ±as;PoblaciÃ³n Expuesta NiÃ±os;PoblaciÃ³n Afectada Hombres;PoblaciÃ³n Afectada Mujeres;PoblaciÃ³n Afectada NiÃ±as;PoblaciÃ³n Afectada NiÃ±os;Rescatados Hombres;Rescatados Mujeres;Rescatados NiÃ±as;Rescatados NiÃ±os;Heridos Hombres;Heridos Mujeres;Heridos NiÃ±as;Heridos NiÃ±os;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales NiÃ±as;Sin signos vitales NiÃ±os;
lunes, 1 de julio de 2019;AK 45    127 60  ;4,708409377000070;-74,053125437999900;0:09:00;0:51:00;ME-42;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.4 VEHÃCULO DE TRANSPORTE MASIVO;1.2.4.4 SITP - BUS;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
martes, 2 de julio de 2019;CL 137 BIS   125B 11  ;4,743532164000040;-74,107516977999900;0:10:00;1:06:00;ME-32;;;;;;;1;;;;;;1;;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÃ“N BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;1;1;;;1;1;;;;;;;;;;;;;;
martes, 2 de julio de 2019;KR 69J    72 46  ;4,683068359000060;-74,089975008999900;0:09:00;1:05:00;ME-44;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÃCULO  PARTICULAR;1.2.1.1 AUTOMÃ“VIL;;;1.2.1.10  FUENTE DE CALOR NO IDENTIFICADA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
martes, 2 de julio de 2019;TV 35    32B 66 SUR ;4,593792784000070;-74,120611261999900;0:06:00;0:34:00;CT-2;X-32;;;;;;2;;;;;;1;1;5;;7;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÃCULO  PARTICULAR;1.2.1.1 AUTOMÃ“VIL;;;1.2.1.6  FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
miÃ©rcoles, 3 de julio de 2019;AK 45    153   ;4,738358236000070;-74,049060823999900;0:05:00;3:08:00;ME-20;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.2 VEHÃCULO DE SERVICIO PÃšBLICO;1.2.2.5 TAXI;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;
miÃ©rcoles, 3 de julio de 2019;TV 6   ESTE 37C  SUR ;4,552935087366730;-74,090565320029900;0:01:00;0:25:00;CT-11;;;;;;;1;;;;;;1;;2;;3;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÃCULO  PARTICULAR;1.2.1.1 AUTOMÃ“VIL;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
jueves, 4 de julio de 2019;CL 127B BIS   19 36  ;4,709362711000040;-74,048966900999900;0:14:00;1:10:00;ME-42;CT-10;;;;;;2;;;;;;1;1;6;;8;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÃ“N BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;1;1;;;1;1;;;;;;;;;;;;;;
viernes, 5 de julio de 2019;KR 69 BIS   36  SUR ;4,611304953000060;46,113049530000600;0:10:00;0:52:00;ME-46;CT-6;;;;;;2;;;;;;;2;5;;7;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.13 PERSONALES;1.1.13.4 RESTAURANTES;;;;;;1.1.1.7  FALLA EN APARATO ELECTRICO;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
viernes, 5 de julio de 2019;KR 30    8   ;4,608599541000050;-74,096041821999900;0:04:00;0:40:00;CT-1;UR-01;;;;;;2;;;;;;1;;6;;7;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÃCULO  PARTICULAR;1.2.1.1 AUTOMÃ“VIL;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;
viernes, 5 de julio de 2019;CL 42C   SUR 82A 19  ;4,627968451000070;-74,168137522999900;0:10:00;0:58:00;ME-46;CT-6;;;;;;2;;;;;;;3;5;;8;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÃ“N BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;2;;;;2;;;;;;;;;;;;;;
