FECHA DEL;DIRECCIÓN;Latitud;Longitud;Tiempo de;Tiempo tot;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECU;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE S;SUBCLASE D;TIPO SUBCL;USO DE LA;CLASE DE U;SUBCLASE_1;CLASE DE V;SUBCLASE_2;ÁREA AFEC;ÁREA EXPU;ORIGEN DE;CAUSAS;Población;Poblaci�_1;Poblaci�_2;Poblaci�_3;Poblaci�_4;Poblaci�_5;Poblaci�_6;Poblaci�_7;Rescatados;Rescatad_1;Rescatad_2;Rescatad_3;Heridos Ho;Heridos Mu;Heridos Ni;Heridos _1;Sin signos;Sin sign_1;Sin sign_2;Sin sign_3;NVA CLASIF;NAME CLAS
miércoles 1 de enero de 2020;;"4.506677191000000";"-74.144027739999999";0:08:00;5:09:00;ME-40;X-37;;;;;;"2";;;;;;"1";;"6";;"7";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.1 AUTOMÓVIL;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
miércoles 1 de enero de 2020;CL 130 BIS   103    3;"4.731396853000000";"-74.099488890000003";0:07:00;1:59:00;ME-32;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.7  FALLA EN APARATO ELECTRICO;ACCIDENTAL;"1";"1";;;"1";"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
miércoles 1 de enero de 2020;CL 78   SUR 9A    13;"4.510566545000000";"-74.112675780000004";0:04:00;1:02:00;ME-31;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.7  FALLA EN APARATO ELECTRICO;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
miércoles 1 de enero de 2020;CL 79A   SUR 89  BIS;"4.622814340000000";"-74.205471720000006";0:11:00;1:02:00;ME-28;;;;;;;"1";;;;;;"1";;"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;"1";"1";;;"1";"1";;;;;;;"1";;;;;;;;1.1.2;1.1.2 Estructuras Formales
miércoles 1 de enero de 2020;CL 22    18B    80;"4.614857170000000";"-74.080260350000003";0:04:00;0:55:00;ME-21;CT-1;;;;;;"2";;;;;;;"1";"5";;"6";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
jueves 2 de enero de 2020;KR 113    82    47;"4.723536333000000";"-74.116911220000006";0:05:00;0:19:00;ME-17;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
jueves 2 de enero de 2020;CL 73C   SUR 26F;"4.544294085000000";"-74.160265330000001";0:17:00;2:03:00;ME-40;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.2 SUBNORMAL;;;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;"9";"9";"5";"4";"9";"9";"5";"4";;;;;;;;;;;;;1.1.3;1.1.3 Estructuras Residenciales No Formales
viernes 3 de enero de 2020;CL 65B SUR 76C 45;"4.582404053000000";"-74.179276400000006";0:18:00;0:48:00;ME-28;;;;;;;"1";;;;;;"1";;"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;"1.3";1.3 Estructuras de gran altura
viernes 3 de enero de 2020;KR 118A 63D 12;"4.710549324000000";"-74.142282539999997";0:07:00;1:48:00;ME-17;;;;;;;"1";;;;;;;"1";"2";;"4";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.8 FALLA EN APARATO ELECTRONICO;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
viernes 3 de enero de 2020;CL 146 SUR 3A 48;"4.468000725000000";"-74.124036939999996";0:11:00;1:32:00;ME-40;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;;"2";;;;"2";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
