No;NOMBRE;PROPIETARIO;MUNICIPIO;DEPARTAMENTO;DIRECCION;PAIS
1;EDS GNV MÓBIL KENNEDY;GAS NATURAL SA;BOGOTÁ;CUNDINAMARCA;CARRERA 79 No. 41F-24 SUR;COLOMBIA
3;TERPEL-AVENIDA CIUDAD DE CALI;IMPORTACIONES DOBERMAN LTDA;BOGOTÁ;CUNDINAMARCA;AV. CRA. 95 NO. 15A-62;COLOMBIA
5;EDS GNV MÓBIL LA TEXANA;UNIGAS S.A.S.;BOGOTÁ;CUNDINAMARCA;AUTOPISTA NORTE NO. 193-50/ Autopista Norte No. 192 - 18/30 o AK 45 192-18/30;COLOMBIA
8;EDS GAZELTERPEL PASADENA;GERMAN RODRIGUEZ_GAZEL;BOGOTÁ;CUNDINAMARCA;CALLE 100 NO. 50 - 38 ESQUINA;COLOMBIA
9;EDS GAZEL CATAM TERPEL DORADO;INVERSIONES EN COMBUSTIBLES Y;BOGOTÁ;CUNDINAMARCA;CALLE 23 B # 123 A - 1;COLOMBIA
12;EDS GNV ESSO AV.68;GAS NATURAL SA;BOGOTÁ;CUNDINAMARCA;AVENIDA CARRERA 68 No. 20-55 SUR;COLOMBIA
19;EDS GNV -ESSO-CHILE;GAS NATURAL SA;BOGOTÁ;CUNDINAMARCA;CALLE 140 No. 92-52 SUBA;COLOMBIA
21;EDS GNV - SEDETRASN S.A. SERVICIOS ESPECIALIADOS DE TRAN;SEDETRASN S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 110 NO.79-21;COLOMBIA
29;EDS HERGOS;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CALLE 73 NO. 86-06;COLOMBIA
30;EDS GAZEL TEXACO 22 HEROES;COMBUSTIBLES DE COLOMBIA S.A.;BOGOTÁ;CUNDINAMARCA;AVENIDA 13 NO.76-44;COLOMBIA
49;EDS GAZEL VILLA ALSACIA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CRA 72 A NO. 12 A - 80;COLOMBIA
62;EDS GAZEL LAS VILLAS;CARLOS ROMERO DUEÑAS_GAZEL;BOGOTÁ;CUNDINAMARCA;CARRERA 52 NO. 129 - 28;COLOMBIA
64;EDS COMPADICOM TEXACO 68;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRERA 68 NO. 2C - 84;COLOMBIA
66;TEXACO CIUDAD BOLIVAR;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;DIAG. 61 SUR NO. 22 - 36 - DIAGONAL 62 SUR N 21ª - 36 BARRIO SAN FRANCISCO,;COLOMBIA
74;MOBIL TIMIZA;COMBUSTIBLES Y  SERVICIOS;BOGOTÁ;CUNDINAMARCA;CARRERA 73 NO. 36 A - 55 SUR;COLOMBIA
