No,NOMBRE,PROPIETARI,MUNICIPIO,DEPARTAMEN,DIRECCION,PAIS,result_num,status,formatted_,place_id,location_t,latlong
"1",EDS GNV M�BIL KENNEDY,GAS NATURAL SA,BOGOT�,CUNDINAMARCA,CARRERA 79 No. 41F-24 SUR,COLOMBIA,"0",OK,"24 Sur, Cra. 79 #41 F, Kennedy, Bogotá, Colombia",ChIJpVBpFYWeP44R6bTEfSA1foE,ROOFTOP,"4.6199348,-74.1608351"
"3",TERPEL-AVENIDA CIUDAD DE CALI,IMPORTACIONES DOBERMAN LTDA,BOGOT�,CUNDINAMARCA,AV. CRA. 95 NO. 15A-62,COLOMBIA,"0",OK,"Cl. 62 #15-83, Bogotá, Colombia",ChIJJ5qvikiaP44RILhyXJo0HzU,ROOFTOP,"4.6490434,-74.066693"
"5",EDS GNV M�BIL LA TEXANA,UNIGAS S.A.S.,BOGOT�,CUNDINAMARCA,AUTOPISTA NORTE NO. 193-50/ Autopista Norte No. 192 - 18/30 o AK 45 192-18/30,COLOMBIA,"0",OK,"Autopista Nte., Colombia",ChIJp9zedZqFP44Rfh_d0tgPlYQ,GEOMETRIC_CENTER,"4.7688644,-74.04384089999999"
"8",EDS GAZELTERPEL PASADENA,GERMAN RODRIGUEZ_GAZEL,BOGOT�,CUNDINAMARCA,CALLE 100 NO. 50 - 38 ESQUINA,COLOMBIA,"0",OK,"Ac. 100 #50-38, Bogotá, Colombia",EiFBYy4gMTAwICM1MC0zOCwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgn3ZBdXwpo_jhHcEUQ7xIqiERAm,RANGE_INTERPOLATED,"4.6883526,-74.0621242"
"9",EDS GAZEL CATAM TERPEL DORADO,INVERSIONES EN COMBUSTIBLES Y,BOGOT�,CUNDINAMARCA,CALLE 23 B # 123 A - 1,COLOMBIA,"0",OK,"Cl. 23b #123a-1, Bogotá, Colombia",EiJDbC4gMjNiICMxMjNhLTEsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJS-z_wcacP44RuRrlOzJwMu8QAQ,RANGE_INTERPOLATED,"4.69442,-74.15131869999999"
"12",EDS GNV ESSO AV.68,GAS NATURAL SA,BOGOT�,CUNDINAMARCA,AVENIDA CARRERA 68 No. 20-55 SUR,COLOMBIA,"0",OK,"Ak 68 #20-55, Bogotá, Colombia",Eh9BayA2OCAjMjAtNTUsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJ11knmO2bP44RAcHFuuTwUTIQNw,RANGE_INTERPOLATED,"4.644436799999999,-74.11095379999999"
"21",EDS GNV - SEDETRASN S.A. SERVICIOS ESPECIALIADOS DE TRAN,SEDETRASN S.A.,BOGOT�,CUNDINAMARCA,CARRERA 110 NO.79-21,COLOMBIA,"0",OK,"Cra. 110 #79-21, Bogotá, Colombia",EiJDcmEuIDExMCAjNzktMjEsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJ7RNIyqiEP44Ry_Spm5U53pkQFQ,RANGE_INTERPOLATED,"4.7163786,-74.1185433"
"29",EDS HERGOS,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CALLE 73 NO. 86-06,COLOMBIA,"0",OK,"Cl. 73 #86-6, Bogotá, Colombia",Eh9DbC4gNzMgIzg2LTYsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJJ-8toUibP44R3tsxR5iAY4YQBg,RANGE_INTERPOLATED,"4.6974716,-74.1051705"
"49",EDS GAZEL VILLA ALSACIA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CRA 72 A NO. 12 A - 80,COLOMBIA,"0",OK,"Cundinamarca, Colombia",ChIJK68WFusoP44R7QjR-rW8PJM,APPROXIMATE,"5.026002999999999,-74.0300122"
"62",EDS GAZEL LAS VILLAS,CARLOS ROMERO DUE�AS_GAZEL,BOGOT�,CUNDINAMARCA,CARRERA 52 NO. 129 - 28,COLOMBIA,"0",OK,"Cra. 52 ##129-35, Bogotá, Cundinamarca, Colombia",ChIJBXczf0-FP44RaQ2ddy3HWP0,ROOFTOP,"4.7160949,-74.05845939999999"
